Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Consumption_in_City,Fuel_Consumption_in_City_Hwy,Fuel_Consumption_comb,CO2_Emissions,CO2_Level
Chrysler,Grand Caravan,Minivan,3.6,6,A9,12.4,8.4,10.6,249,normal
Chrysler,Pacifica,Minivan,3.6,6,A9,12.4,8.4,10.6,249,normal
Chrysler,Pacifica AWD,Minivan,3.6,6,A9,14.1,9.4,12.0,279,high
Dodge,Challenger,Mid-size,3.6,6,A8,12.4,7.8,10.3,242,normal
Dodge,Challenger (MDS),Mid-size,5.7,8,A8,14.7,9.4,12.3,289,high
Dodge,Challenger,Mid-size,5.7,8,M6,15.6,10.1,13.1,307,high
Dodge,Challenger (MDS),Mid-size,6.4,8,A8,15.9,9.6,13.1,306,high
Dodge,Challenger,Mid-size,6.4,8,M6,16.7,10.4,13.9,325,high
Dodge,Challenger AWD,Mid-size,3.6,6,A8,12.8,8.7,11.0,258,high
Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,15.9,9.6,13.1,306,high
Dodge,Challenger Widebody,Mid-size,6.4,8,M6,16.7,10.4,13.9,325,high
Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,17.6,10.7,14.5,339,high
Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,18.1,11.4,15.1,352,high
Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,18.6,11.3,15.3,359,high
Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,18.1,11.4,15.1,352,high
Dodge,Charger,Full-size,3.6,6,A8,12.4,7.8,10.3,242,normal
Dodge,Charger (MDS),Full-size,5.7,8,A8,14.7,9.4,12.3,289,high
Dodge,Charger (MDS),Full-size,6.4,8,A8,15.9,9.6,13.1,306,high
Dodge,Charger AWD,Full-size,3.6,6,A8,12.8,8.7,11.0,258,high
Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,15.9,9.6,13.1,306,high
Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,19.0,11.5,15.6,368,high
Dodge,Durango AWD,SUV: Standard,3.6,6,A8,12.7,9.6,11.3,265,high
Dodge,Durango AWD,SUV: Standard,5.7,8,A8,16.7,10.9,14.1,331,high
Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,18.3,12.2,15.6,363,high
Dodge,Durango AWD SRT Hellcat,SUV: Standard,6.2,8,A8,20.5,13.8,17.4,410,high
FIAT,500X AWD,SUV: Small,1.3,4,A9,10.0,7.9,9.1,221,normal
Ford,Bronco 4WD,SUV: Small,2.3,4,AS10,11.7,10.7,11.2,264,high
Ford,Bronco 4WD,SUV: Small,2.3,4,M7,11.6,10.9,11.3,265,high
Ford,Bronco 4WD,SUV: Small,2.7,6,AS10,12.8,11.6,12.2,287,high
Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,AS10,13.5,13.7,13.6,318,high
Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,M7,14.7,13.3,14.1,330,high
Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,13.7,13.1,13.4,315,high
Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,AS10,13.1,13.1,13.1,308,high
Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,M7,13.8,12.4,13.2,310,high
Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,AS10,13.1,13.1,13.1,308,high
Ford,Bronco Sasquatch 4WD,SUV: Small,2.7,6,AS10,14.0,13.9,13.9,327,high
Ford,Bronco Sport 4WD,SUV: Small,1.5,3,A8,9.3,8.3,8.9,209,normal
Ford,Bronco Sport 4WD,SUV: Small,2.0,4,AS8,11.1,8.9,10.1,238,normal
Ford,EcoSport,SUV: Small,1.0,3,AS6,8.6,8.1,8.4,197,normal
Ford,EcoSport AWD,SUV: Small,2.0,4,AS6,10.2,8.0,9.2,217,normal
Ford,Edge,SUV: Small,2.0,4,A8,11.2,8.1,9.8,229,normal
Ford,Edge AWD,SUV: Small,2.0,4,A8,11.5,8.3,10.0,236,normal
Ford,Edge AWD,SUV: Small,2.0,4,AS8,11.5,8.3,10.1,237,normal
Ford,Edge AWD,SUV: Small,2.7,6,AS8,12.6,9.3,11.1,262,high
Ford,Escape,SUV: Small,1.5,3,A8,8.5,6.8,7.8,182,normal
Ford,Escape AWD,SUV: Small,1.5,3,A8,9.0,7.6,8.4,198,normal
Ford,Escape AWD,SUV: Small,2.0,4,A8,10.4,7.5,9.1,213,normal
Ford,Escape Hybrid,SUV: Small,2.5,4,AV,5.4,6.3,5.8,136,normal
Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,5.5,6.4,5.9,139,normal
Ford,Expedition 4X4,SUV: Standard,3.5,6,AS10,14.1,10.7,12.6,295,high
Ford,Expedition MAX 4X4,SUV: Standard,3.5,6,AS10,14.7,11.2,13.1,308,high
Ford,Explorer AWD,SUV: Standard,2.3,4,A10,11.7,8.6,10.3,242,normal
